id,filename,fake
5164,mc-5164.jpg,1
5165,mc-5165.jpg,1
5166,mc-5166.jpg,0
5167,mc-5167.jpg,1
5168,mc-5168.jpg,0
5169,mc-5169.jpg,1
5170,mc-5170.jpg,1
5171,mc-5171.jpg,0
5172,mc-5172.jpg,0
5173,mc-5173.jpg,1
5174,mc-5174.jpg,0
5175,mc-5175.jpg,0
5176,mc-5176.jpg,0
5177,mc-5177.jpg,1
5178,mc-5178.jpg,1
5179,mc-5179.jpg,1
5180,mc-5180.jpg,1
5181,mc-5181.jpg,0
5182,mc-5182.jpg,1
5183,mc-5183.jpg,1
5184,mc-5184.jpg,1
5185,mc-5185.jpg,1
5186,mc-5186.jpg,1
5187,mc-5187.jpg,1
5188,mc-5188.jpg,0
5189,mc-5189.jpg,1
5190,mc-5190.jpg,0
5191,mc-5191.jpg,1
5192,mc-5192.jpg,0
5193,mc-5193.jpg,1
5194,mc-5194.jpg,0
5195,mc-5195.jpg,1
5196,mc-5196.jpg,0
5197,mc-5197.jpg,0
5198,mc-5198.jpg,1
5199,mc-5199.jpg,1
5200,mc-5200.jpg,1
5201,mc-5201.jpg,1
5202,mc-5202.jpg,0
5203,mc-5203.jpg,1
5204,mc-5204.jpg,1
5205,mc-5205.jpg,1
5206,mc-5206.jpg,0
5207,mc-5207.jpg,1
5208,mc-5208.jpg,0
5209,mc-5209.jpg,0
5210,mc-5210.jpg,1
5211,mc-5211.jpg,0
5212,mc-5212.jpg,1
5213,mc-5213.jpg,0
5214,mc-5214.jpg,0
5215,mc-5215.jpg,1
5216,mc-5216.jpg,0
5217,mc-5217.jpg,1
5218,mc-5218.jpg,0
5219,mc-5219.jpg,0
5220,mc-5220.jpg,0
5221,mc-5221.jpg,0
5222,mc-5222.jpg,1
5223,mc-5223.jpg,1
5224,mc-5224.jpg,1
5225,mc-5225.jpg,1
5226,mc-5226.jpg,1
5227,mc-5227.jpg,1
5228,mc-5228.jpg,1
5229,mc-5229.jpg,1
5230,mc-5230.jpg,1
5231,mc-5231.jpg,0
5232,mc-5232.jpg,0
5233,mc-5233.jpg,1
5234,mc-5234.jpg,1
5235,mc-5235.jpg,1
5236,mc-5236.jpg,1
5237,mc-5237.jpg,0
5238,mc-5238.jpg,0
5239,mc-5239.jpg,0
5240,mc-5240.jpg,1
5241,mc-5241.jpg,1
5242,mc-5242.jpg,0
5243,mc-5243.jpg,1
5244,mc-5244.jpg,1
5245,mc-5245.jpg,1
5246,mc-5246.jpg,1
5247,mc-5247.jpg,0
5248,mc-5248.jpg,1
5249,mc-5249.jpg,0
5250,mc-5250.jpg,0
5251,mc-5251.jpg,1
5252,mc-5252.jpg,1
5253,mc-5253.jpg,0
5254,mc-5254.jpg,0
5255,mc-5255.jpg,0
5256,mc-5256.jpg,0
5257,mc-5257.jpg,0
5258,mc-5258.jpg,0
5259,mc-5259.jpg,1
5260,mc-5260.jpg,1
5261,mc-5261.jpg,0
5262,mc-5262.jpg,0
5263,mc-5263.jpg,0
5264,mc-5264.jpg,1
